group,id,AN,DI,FE,HA,NE,SA,SP
A,A_10,1.0,0.75,0.416666666667,1.0,0.916666666667,0.916666666667,0.5
A,A_11,0.916666666667,0.916666666667,0.833333333333,1.0,0.666666666667,0.666666666667,0.916666666667
A,A_12,0.666666666667,0.666666666667,0.0833333333333,1.0,0.916666666667,0.75,0.833333333333
A,A_13,0.833333333333,0.916666666667,0.416666666667,1.0,0.916666666667,0.75,1.0
A,A_14,1.0,0.833333333333,0.25,0.916666666667,1.0,0.75,0.916666666667
A,A_15,0.75,0.75,0.166666666667,1.0,0.916666666667,0.583333333333,0.75
A,A_16,1.0,0.666666666667,0.666666666667,1.0,1.0,0.916666666667,0.583333333333
A,A_17,1.0,0.833333333333,0.666666666667,1.0,1.0,0.916666666667,0.833333333333
A,A_1,1.0,0.833333333333,0.416666666667,1.0,0.333333333333,0.666666666667,0.833333333333
A,A_2,1.0,0.833333333333,0.666666666667,1.0,1.0,0.666666666667,0.833333333333
A,A_3,0.916666666667,0.416666666667,0.25,1.0,0.916666666667,0.75,1.0
A,A_4,0.5,0.25,0.166666666667,1.0,1.0,0.0833333333333,0.833333333333
A,A_5,0.833333333333,1.0,0.333333333333,0.916666666667,1.0,0.833333333333,0.833333333333
A,A_6,1.0,0.833333333333,0.583333333333,1.0,1.0,0.583333333333,0.833333333333
A,A_7,0.916666666667,0.75,0.333333333333,1.0,0.916666666667,0.833333333333,0.916666666667
A,A_8,0.916666666667,0.75,0.916666666667,1.0,0.666666666667,0.916666666667,0.833333333333
A,A_9,0.916666666667,0.666666666667,0.5,1.0,0.916666666667,0.75,0.833333333333
G,G_10,1.0,0.833333333333,0.666666666667,1.0,0.833333333333,0.583333333333,0.916666666667
G,G_11,0.833333333333,0.75,0.0,1.0,0.833333333333,0.25,0.916666666667
G,G_12,0.75,0.833333333333,0.5,0.75,1.0,0.583333333333,0.75
G,G_13,0.583333333333,0.416666666667,0.0,0.916666666667,1.0,0.333333333333,0.75
G,G_14,0.916666666667,0.666666666667,0.75,1.0,1.0,0.75,0.916666666667
G,G_15,0.833333333333,0.833333333333,0.166666666667,1.0,0.666666666667,0.916666666667,1.0
G,G_16,0.833333333333,0.416666666667,0.0833333333333,1.0,0.5,0.666666666667,0.75
G,G_17,0.666666666667,0.75,0.5,0.916666666667,1.0,0.75,0.75
G,G_18,0.916666666667,0.583333333333,0.25,1.0,0.666666666667,0.833333333333,0.916666666667
G,G_19,0.833333333333,0.833333333333,0.75,0.916666666667,0.916666666667,0.75,0.75
G,G_1,0.75,0.75,0.75,1.0,1.0,0.916666666667,1.0
G,G_20,0.916666666667,0.916666666667,0.333333333333,1.0,0.916666666667,0.666666666667,0.916666666667
G,G_21,0.916666666667,0.833333333333,0.416666666667,1.0,0.916666666667,0.833333333333,0.833333333333
G,G_22,0.666666666667,0.666666666667,0.25,0.916666666667,0.833333333333,0.583333333333,0.666666666667
G,G_23,0.916666666667,0.666666666667,0.416666666667,1.0,0.916666666667,0.75,0.666666666667
G,G_24,0.833333333333,0.75,0.916666666667,1.0,0.916666666667,0.666666666667,0.833333333333
G,G_25,0.0,0.0,0.0,0.0,0.583333333333,0.0,0.583333333333
G,G_26,0.916666666667,0.75,0.666666666667,1.0,1.0,0.75,0.75
G,G_27,1.0,0.833333333333,0.75,1.0,0.833333333333,0.666666666667,0.5
G,G_28,0.916666666667,0.333333333333,0.0,1.0,0.916666666667,0.416666666667,0.916666666667
G,G_29,0.5,0.75,0.5,1.0,0.416666666667,0.833333333333,0.583333333333
G,G_2,1.0,0.666666666667,0.75,0.75,0.75,0.833333333333,0.916666666667
G,G_30,0.75,0.666666666667,0.416666666667,1.0,1.0,0.25,0.833333333333
G,G_3,0.916666666667,0.916666666667,0.5,1.0,0.916666666667,0.583333333333,1.0
G,G_4,0.916666666667,0.916666666667,0.0,1.0,0.916666666667,0.916666666667,1.0
G,G_5,0.916666666667,0.666666666667,0.666666666667,1.0,0.833333333333,0.0833333333333,0.833333333333
G,G_6,1.0,0.916666666667,0.583333333333,0.583333333333,0.916666666667,0.333333333333,0.75
G,G_7,0.833333333333,1.0,0.166666666667,0.916666666667,0.916666666667,0.75,0.916666666667
G,G_8,1.0,0.916666666667,0.5,1.0,1.0,0.833333333333,0.916666666667
G,G_9,0.75,0.916666666667,0.5,1.0,0.666666666667,0.25,0.916666666667
K,K_10,1.0,0.833333333333,0.5,0.916666666667,0.666666666667,0.75,1.0
K,K_11,0.75,0.916666666667,0.333333333333,1.0,0.916666666667,0.833333333333,0.833333333333
K,K_12,0.833333333333,0.666666666667,0.416666666667,1.0,1.0,0.5,0.833333333333
K,K_13,0.916666666667,0.75,0.666666666667,0.833333333333,0.75,0.75,0.916666666667
K,K_14,0.75,0.833333333333,0.0833333333333,1.0,1.0,0.666666666667,0.833333333333
K,K_15,1.0,0.75,0.666666666667,1.0,1.0,0.666666666667,0.916666666667
K,K_1,1.0,0.583333333333,0.666666666667,1.0,1.0,0.583333333333,0.666666666667
K,K_2,1.0,0.833333333333,0.833333333333,1.0,0.916666666667,0.833333333333,0.666666666667
K,K_3,0.5,0.916666666667,0.0833333333333,0.916666666667,0.416666666667,0.166666666667,0.583333333333
K,K_4,0.833333333333,0.25,0.333333333333,0.916666666667,0.916666666667,0.5,0.75
K,K_5,0.833333333333,0.833333333333,0.583333333333,1.0,0.666666666667,0.916666666667,0.916666666667
K,K_7,1.0,1.0,0.833333333333,1.0,1.0,0.833333333333,0.916666666667
K,K_8,1.0,0.833333333333,0.25,1.0,1.0,0.833333333333,0.75
K,K_9,0.666666666667,0.666666666667,0.166666666667,1.0,0.75,0.0833333333333,0.833333333333
