g,p,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10
A,A001,0.0,0.1,0.1,0.2,0.15,0.3,0.85,0.9,0.9,1.0,1.0,0.0,0.1,0.2,0.2,0.25,0.5,0.7,0.85,0.95,1.0,1.0
A,A002,0.2,0.1,0.05,0.3,0.25,0.5,0.75,0.9,0.75,1.0,1.0,0.05,0.25,0.35,0.2,0.35,0.55,0.6,0.9,0.85,1.0,1.0
A,A003,0.0,0.05,0.15,0.1,0.3,0.4,0.55,0.65,0.65,0.65,0.85,0.0,0.0,0.05,0.05,0.3,0.25,0.45,0.5,0.8,0.95,0.95
A,A005,0.35,0.2,0.15,0.55,0.4,0.7,0.9,1.0,1.0,1.0,1.0,0.2,0.2,0.3,0.45,0.4,0.65,0.9,1.0,1.0,1.0,1.0
A,A006,0.0,0.2,0.05,0.25,0.2,0.35,0.65,0.55,0.85,0.85,0.95,0.1,0.4,0.3,0.3,0.45,0.5,0.85,0.85,0.9,0.9,1.0
A,A007,0.1,0.1,0.2,0.3,0.3,0.45,0.45,0.6,0.85,0.95,1.0,0.15,0.1,0.25,0.25,0.5,0.55,0.7,0.8,0.85,0.95,1.0
A,A008,0.0,0.0,0.0,0.05,0.0,0.05,0.15,0.3,0.55,0.5,0.6,0.2,0.15,0.35,0.25,0.35,0.4,0.45,0.8,0.5,0.8,0.85
A,A009,0.15,0.05,0.25,0.15,0.3,0.5,0.75,0.85,0.75,0.9,1.0,0.25,0.1,0.2,0.3,0.45,0.65,0.75,0.9,0.95,1.0,0.9
A,A010,0.05,0.05,0.05,0.1,0.25,0.5,0.6,0.8,0.85,0.95,1.0,0.05,0.05,0.05,0.25,0.4,0.35,0.75,0.85,0.95,1.0,1.0
A,A011,0.0,0.0,0.0,0.1,0.15,0.2,0.35,0.55,0.6,0.7,0.85,0.05,0.15,0.1,0.05,0.1,0.3,0.45,0.7,0.65,0.6,0.85
A,A012,0.0,0.05,0.2,0.15,0.3,0.45,0.55,0.85,0.9,1.0,0.95,0.1,0.15,0.2,0.25,0.3,0.45,0.6,0.9,0.95,1.0,0.9
A,A013,0.0,0.0,0.0,0.05,0.05,0.35,0.55,0.75,0.95,1.0,1.0,0.0,0.15,0.05,0.2,0.3,0.4,0.5,0.6,0.7,0.85,0.9
A,A014,0.05,0.05,0.1,0.1,0.15,0.35,0.5,0.75,0.75,0.85,0.8,0.15,0.3,0.25,0.2,0.55,0.45,0.55,0.85,0.85,0.9,0.95
A,A015,0.0,0.05,0.0,0.15,0.3,0.15,0.45,0.65,0.85,0.8,0.85,0.1,0.05,0.1,0.1,0.3,0.3,0.45,0.6,0.55,0.65,0.8
A,A016,0.0,0.0,0.05,0.1,0.15,0.2,0.5,0.85,0.8,0.9,0.8,0.0,0.05,0.05,0.05,0.2,0.4,0.65,0.75,0.8,0.85,0.9
A,A017,0.1,0.35,0.4,0.3,0.3,0.4,0.65,0.65,0.7,0.8,0.8,0.25,0.05,0.05,0.2,0.35,0.5,0.5,0.5,0.65,0.7,0.8
G,G001,0.0,0.05,0.15,0.1,0.25,0.45,0.8,0.95,0.9,0.9,1.0,0.05,0.15,0.2,0.1,0.4,0.55,0.5,0.75,0.85,0.9,0.9
G,G002,0.35,0.3,0.4,0.45,0.2,0.7,0.8,0.9,1.0,1.0,0.95,0.15,0.15,0.35,0.4,0.4,0.75,0.85,0.85,0.95,0.95,0.95
G,G003,0.1,0.05,0.0,0.05,0.15,0.25,0.7,0.65,0.85,0.9,0.95,0.1,0.2,0.45,0.2,0.45,0.45,0.55,0.8,0.9,1.0,1.0
G,G004,0.05,0.05,0.0,0.15,0.3,0.35,0.75,0.75,0.75,0.95,0.95,0.25,0.25,0.25,0.35,0.55,0.55,0.75,0.8,0.95,0.95,1.0
G,G005,0.05,0.05,0.15,0.15,0.3,0.65,0.8,0.9,0.95,1.0,1.0,0.15,0.2,0.25,0.3,0.55,0.65,0.75,0.8,0.9,0.85,1.0
G,G006,0.2,0.0,0.05,0.15,0.2,0.45,0.65,0.95,0.9,0.95,0.85,0.15,0.1,0.25,0.2,0.4,0.6,0.8,0.9,0.85,1.0,1.0
G,G007,0.1,0.2,0.1,0.25,0.45,0.65,0.65,0.95,0.85,1.0,1.0,0.05,0.2,0.15,0.25,0.4,0.4,0.7,0.75,0.95,0.9,0.95
G,G008,0.1,0.05,0.1,0.15,0.4,0.5,0.8,1.0,1.0,1.0,1.0,0.05,0.05,0.05,0.15,0.45,0.7,0.7,0.95,1.0,0.95,0.95
G,G009,0.15,0.3,0.5,0.45,0.55,0.75,0.85,1.0,1.0,1.0,1.0,0.3,0.25,0.4,0.65,0.55,0.75,0.95,0.95,1.0,1.0,1.0
G,G010,0.0,0.05,0.0,0.0,0.1,0.5,0.7,0.95,0.9,1.0,1.0,0.05,0.0,0.15,0.3,0.45,0.55,0.7,0.85,1.0,1.0,0.95
G,G012,0.2,0.25,0.2,0.15,0.2,0.35,0.4,0.65,0.75,0.8,0.85,0.45,0.35,0.45,0.5,0.45,0.7,0.65,0.8,0.8,0.95,0.95
G,G014,0.25,0.35,0.2,0.15,0.25,0.5,0.75,0.85,0.95,0.95,0.95,0.1,0.15,0.15,0.35,0.45,0.7,0.7,0.75,0.9,1.0,1.0
G,G015,0.45,0.3,0.4,0.35,0.55,0.55,0.8,0.95,0.95,1.0,1.0,0.6,0.3,0.4,0.65,0.65,0.75,0.8,0.95,0.95,0.9,1.0
G,G017,0.0,0.0,0.0,0.1,0.1,0.55,0.85,0.9,1.0,0.95,1.0,0.05,0.1,0.05,0.15,0.4,0.7,0.65,0.95,0.95,0.95,1.0
G,G018,0.05,0.0,0.1,0.3,0.3,0.45,0.35,0.75,0.9,0.75,1.0,0.35,0.1,0.15,0.25,0.3,0.45,0.65,0.7,0.75,0.9,0.9
G,G019,0.05,0.15,0.05,0.05,0.25,0.25,0.5,0.55,0.75,0.85,0.9,0.2,0.0,0.1,0.25,0.4,0.55,0.65,0.8,0.8,0.95,0.95
G,G020,0.0,0.0,0.0,0.1,0.2,0.15,0.35,0.75,0.9,0.9,0.9,0.0,0.05,0.15,0.25,0.2,0.45,0.7,0.75,0.85,0.95,1.0
G,G021,0.2,0.25,0.2,0.25,0.45,0.6,0.75,0.85,0.8,0.95,0.85,0.2,0.35,0.4,0.55,0.7,0.8,0.8,0.9,0.9,0.9,0.95
G,G022,0.25,0.25,0.45,0.45,0.7,0.75,0.85,1.0,1.0,1.0,1.0,0.55,0.5,0.65,0.8,0.85,0.9,0.9,1.0,1.0,1.0,1.0
G,G023,0.15,0.25,0.15,0.15,0.35,0.5,0.45,0.5,0.85,0.9,0.9,0.2,0.2,0.25,0.55,0.35,0.65,0.8,0.8,0.95,1.0,1.0
G,G024,0.25,0.2,0.25,0.3,0.5,0.7,1.0,1.0,1.0,1.0,0.95,0.15,0.3,0.25,0.25,0.6,0.8,0.9,0.9,0.95,1.0,1.0
G,G026,0.15,0.05,0.15,0.25,0.4,0.4,0.65,0.85,0.9,0.85,0.95,0.2,0.3,0.2,0.25,0.35,0.5,0.7,0.7,0.85,0.9,1.0
G,G027,0.0,0.25,0.25,0.5,0.65,0.75,0.9,0.95,1.0,1.0,1.0,0.15,0.25,0.2,0.25,0.6,0.75,0.85,1.0,0.95,1.0,1.0
G,G028,0.0,0.0,0.0,0.1,0.15,0.5,0.65,0.8,0.9,0.9,0.95,0.2,0.2,0.35,0.25,0.45,0.6,0.65,0.8,0.85,0.85,1.0
G,G029,0.1,0.15,0.15,0.2,0.05,0.2,0.4,0.45,0.6,0.5,0.7,0.45,0.65,0.35,0.45,0.6,0.7,0.6,0.75,0.85,0.9,0.75
G,G030,0.2,0.35,0.3,0.25,0.4,0.4,0.6,0.7,0.95,0.95,0.95,0.3,0.4,0.55,0.35,0.55,0.5,0.7,0.9,0.9,1.0,0.95
K,K001,0.0,0.05,0.1,0.15,0.2,0.2,0.55,0.8,0.8,0.9,1.0,0.15,0.15,0.3,0.25,0.35,0.4,0.65,0.8,0.65,0.9,0.8
K,K002,0.3,0.1,0.2,0.25,0.3,0.5,0.8,0.9,0.95,1.0,1.0,0.0,0.1,0.15,0.15,0.35,0.5,0.75,0.85,0.95,1.0,1.0
K,K003,0.2,0.4,0.3,0.5,0.6,0.6,0.6,0.8,0.8,0.8,0.7,0.3,0.4,0.5,0.6,0.8,0.6,0.7,0.8,0.9,1.0,0.7
K,K004,0.0,0.05,0.05,0.05,0.2,0.3,0.4,0.5,0.75,0.95,0.85,0.15,0.25,0.25,0.35,0.35,0.5,0.35,0.7,0.7,0.9,1.0
K,K005,0.05,0.1,0.1,0.0,0.3,0.5,0.6,0.8,0.95,0.9,0.95,0.0,0.05,0.05,0.25,0.4,0.4,0.7,0.75,0.9,1.0,1.0
K,K007,0.05,0.0,0.0,0.0,0.05,0.3,0.6,0.75,0.9,0.95,0.95,0.05,0.0,0.0,0.05,0.35,0.45,0.55,0.7,0.95,0.95,0.9
K,K008,0.1,0.0,0.0,0.15,0.2,0.4,0.55,0.9,0.8,1.0,1.0,0.2,0.0,0.1,0.15,0.2,0.45,0.4,0.65,0.7,0.85,0.85
K,K009,0.05,0.15,0.2,0.5,0.3,0.6,0.7,0.8,0.85,0.9,1.0,0.3,0.4,0.55,0.55,0.65,0.75,0.9,0.95,1.0,0.95,1.0
K,K010,0.2,0.1,0.15,0.2,0.2,0.25,0.5,0.6,0.75,0.85,0.9,0.3,0.2,0.35,0.3,0.5,0.5,0.6,0.5,0.85,0.95,0.95
K,K011,0.0,0.0,0.05,0.1,0.3,0.4,0.55,0.85,0.95,1.0,0.95,0.15,0.05,0.05,0.25,0.45,0.5,0.7,0.95,1.0,0.9,0.95
K,K012,0.1,0.1,0.2,0.4,0.5,0.65,0.8,0.9,0.9,1.0,0.95,0.15,0.25,0.25,0.45,0.6,0.6,0.7,0.8,1.0,0.95,0.95
K,K013,0.1,0.05,0.05,0.2,0.3,0.6,0.75,0.85,0.85,0.95,0.9,0.25,0.5,0.4,0.55,0.6,0.55,0.8,0.8,1.0,0.9,1.0
K,K014,0.0,0.0,0.05,0.0,0.0,0.25,0.45,0.7,0.85,0.95,0.95,0.2,0.2,0.3,0.35,0.35,0.4,0.45,0.65,0.75,0.9,0.85
K,K015,0.1,0.15,0.2,0.2,0.3,0.45,0.7,0.75,0.9,1.0,0.95,0.0,0.0,0.05,0.2,0.35,0.3,0.65,0.7,0.85,1.0,1.0
