g,p,fgender,00,01,02,03,04,05,06,07,08,09,10,group
A,A001,F,0.0,0.1,0.1,0.2,0.15,0.3,0.85,0.9,0.9,1.0,1.0,2
A,A001,M,0.0,0.1,0.2,0.2,0.25,0.5,0.7,0.85,0.95,1.0,1.0,2
A,A002,F,0.2,0.1,0.05,0.3,0.25,0.5,0.75,0.9,0.75,1.0,1.0,2
A,A002,M,0.05,0.25,0.35,0.2,0.35,0.55,0.6,0.9,0.85,1.0,1.0,2
A,A003,F,0.0,0.05,0.15,0.1,0.3,0.4,0.55,0.65,0.65,0.65,0.85,2
A,A003,M,0.0,0.0,0.05,0.05,0.3,0.25,0.45,0.5,0.8,0.95,0.95,2
A,A004,F,0.45,0.35,0.4,0.3,0.4,0.6,0.3,0.45,0.45,0.6,0.75,2
A,A004,M,0.35,0.3,0.35,0.35,0.4,0.45,0.35,0.3,0.45,0.5,0.5,2
A,A005,F,0.35,0.2,0.15,0.55,0.4,0.7,0.9,1.0,1.0,1.0,1.0,2
A,A005,M,0.2,0.2,0.3,0.45,0.4,0.65,0.9,1.0,1.0,1.0,1.0,2
A,A006,F,0.0,0.2,0.05,0.25,0.2,0.35,0.65,0.55,0.85,0.85,0.95,2
A,A006,M,0.1,0.4,0.3,0.3,0.45,0.5,0.85,0.85,0.9,0.9,1.0,2
A,A007,F,0.1,0.1,0.2,0.3,0.3,0.45,0.45,0.6,0.85,0.95,1.0,2
A,A007,M,0.15,0.1,0.25,0.25,0.5,0.55,0.7,0.8,0.85,0.95,1.0,2
A,A008,F,0.0,0.0,0.0,0.05,0.0,0.05,0.15,0.3,0.55,0.5,0.6,2
A,A008,M,0.2,0.15,0.35,0.25,0.35,0.4,0.45,0.8,0.5,0.8,0.85,2
A,A009,F,0.15,0.05,0.25,0.15,0.3,0.5,0.75,0.85,0.75,0.9,1.0,2
A,A009,M,0.25,0.1,0.2,0.3,0.45,0.65,0.75,0.9,0.95,1.0,0.9,2
A,A010,F,0.05,0.05,0.05,0.1,0.25,0.5,0.6,0.8,0.85,0.95,1.0,2
A,A010,M,0.05,0.05,0.05,0.25,0.4,0.35,0.75,0.85,0.95,1.0,1.0,2
A,A011,F,0.0,0.0,0.0,0.1,0.15,0.2,0.35,0.55,0.6,0.7,0.85,2
A,A011,M,0.05,0.15,0.1,0.05,0.1,0.3,0.45,0.7,0.65,0.6,0.85,2
A,A012,F,0.0,0.05,0.2,0.15,0.3,0.45,0.55,0.85,0.9,1.0,0.95,2
A,A012,M,0.1,0.15,0.2,0.25,0.3,0.45,0.6,0.9,0.95,1.0,0.9,2
A,A013,F,0.0,0.0,0.0,0.05,0.05,0.35,0.55,0.75,0.95,1.0,1.0,2
A,A013,M,0.0,0.15,0.05,0.2,0.3,0.4,0.5,0.6,0.7,0.85,0.9,2
A,A014,F,0.05,0.05,0.1,0.1,0.15,0.35,0.5,0.75,0.75,0.85,0.8,2
A,A014,M,0.15,0.3,0.25,0.2,0.55,0.45,0.55,0.85,0.85,0.9,0.95,2
A,A015,F,0.0,0.05,0.0,0.15,0.3,0.15,0.45,0.65,0.85,0.8,0.85,2
A,A015,M,0.1,0.05,0.1,0.1,0.3,0.3,0.45,0.6,0.55,0.65,0.8,2
A,A016,F,0.0,0.0,0.05,0.1,0.15,0.2,0.5,0.85,0.8,0.9,0.8,2
A,A016,M,0.0,0.05,0.05,0.05,0.2,0.4,0.65,0.75,0.8,0.85,0.9,2
A,A017,F,0.1,0.35,0.4,0.3,0.3,0.4,0.65,0.65,0.7,0.8,0.8,2
A,A017,M,0.25,0.05,0.05,0.2,0.35,0.5,0.5,0.5,0.65,0.7,0.8,2
G,G001,F,0.0,0.05,0.15,0.1,0.25,0.45,0.8,0.95,0.9,0.9,1.0,0
G,G001,M,0.05,0.15,0.2,0.1,0.4,0.55,0.5,0.75,0.85,0.9,0.9,0
G,G002,F,0.35,0.3,0.4,0.45,0.2,0.7,0.8,0.9,1.0,1.0,0.95,0
G,G002,M,0.15,0.15,0.35,0.4,0.4,0.75,0.85,0.85,0.95,0.95,0.95,0
G,G003,F,0.1,0.05,0.0,0.05,0.15,0.25,0.7,0.65,0.85,0.9,0.95,0
G,G003,M,0.1,0.2,0.45,0.2,0.45,0.45,0.55,0.8,0.9,1.0,1.0,0
G,G004,F,0.05,0.05,0.0,0.15,0.3,0.35,0.75,0.75,0.75,0.95,0.95,0
G,G004,M,0.25,0.25,0.25,0.35,0.55,0.55,0.75,0.8,0.95,0.95,1.0,0
G,G005,F,0.05,0.05,0.15,0.15,0.3,0.65,0.8,0.9,0.95,1.0,1.0,0
G,G005,M,0.15,0.2,0.25,0.3,0.55,0.65,0.75,0.8,0.9,0.85,1.0,0
G,G006,F,0.2,0.0,0.05,0.15,0.2,0.45,0.65,0.95,0.9,0.95,0.85,0
G,G006,M,0.15,0.1,0.25,0.2,0.4,0.6,0.8,0.9,0.85,1.0,1.0,0
G,G007,F,0.1,0.2,0.1,0.25,0.45,0.65,0.65,0.95,0.85,1.0,1.0,0
G,G007,M,0.05,0.2,0.15,0.25,0.4,0.4,0.7,0.75,0.95,0.9,0.95,0
G,G008,F,0.1,0.05,0.1,0.15,0.4,0.5,0.8,1.0,1.0,1.0,1.0,0
G,G008,M,0.05,0.05,0.05,0.15,0.45,0.7,0.7,0.95,1.0,0.95,0.95,0
G,G009,F,0.15,0.3,0.5,0.45,0.55,0.75,0.85,1.0,1.0,1.0,1.0,0
G,G009,M,0.3,0.25,0.4,0.65,0.55,0.75,0.95,0.95,1.0,1.0,1.0,0
G,G010,F,0.0,0.05,0.0,0.0,0.1,0.5,0.7,0.95,0.9,1.0,1.0,0
G,G010,M,0.05,0.0,0.15,0.3,0.45,0.55,0.7,0.85,1.0,1.0,0.95,0
G,G011,F,0.05,0.1,0.0,0.1,0.05,0.15,0.1,0.15,0.15,0.3,0.4,0
G,G011,M,0.05,0.05,0.15,0.05,0.15,0.15,0.2,0.2,0.15,0.15,0.3,0
G,G012,F,0.2,0.25,0.2,0.15,0.2,0.35,0.4,0.65,0.75,0.8,0.85,0
G,G012,M,0.45,0.35,0.45,0.5,0.45,0.7,0.65,0.8,0.8,0.95,0.95,0
G,G013,F,0.4,0.45,0.25,0.55,0.3,0.35,0.15,0.55,0.4,0.15,0.45,0
G,G013,M,0.4,0.45,0.5,0.55,0.4,0.3,0.45,0.5,0.35,0.4,0.4,0
G,G014,F,0.25,0.35,0.2,0.15,0.25,0.5,0.75,0.85,0.95,0.95,0.95,0
G,G014,M,0.1,0.15,0.15,0.35,0.45,0.7,0.7,0.75,0.9,1.0,1.0,0
G,G015,F,0.45,0.3,0.4,0.35,0.55,0.55,0.8,0.95,0.95,1.0,1.0,0
G,G015,M,0.6,0.3,0.4,0.65,0.65,0.75,0.8,0.95,0.95,0.9,1.0,0
G,G016,F,0.25,0.4,0.4,0.55,0.55,0.5,0.45,0.8,0.8,0.8,0.85,0
G,G016,M,0.75,0.8,0.75,0.8,0.85,1.0,0.85,1.0,0.9,0.9,0.9,0
G,G017,F,0.0,0.0,0.0,0.1,0.1,0.55,0.85,0.9,1.0,0.95,1.0,0
G,G017,M,0.05,0.1,0.05,0.15,0.4,0.7,0.65,0.95,0.95,0.95,1.0,0
G,G018,F,0.05,0.0,0.1,0.3,0.3,0.45,0.35,0.75,0.9,0.75,1.0,0
G,G018,M,0.35,0.1,0.15,0.25,0.3,0.45,0.65,0.7,0.75,0.9,0.9,0
G,G019,F,0.05,0.15,0.05,0.05,0.25,0.25,0.5,0.55,0.75,0.85,0.9,0
G,G019,M,0.2,0.0,0.1,0.25,0.4,0.55,0.65,0.8,0.8,0.95,0.95,0
G,G020,F,0.0,0.0,0.0,0.1,0.2,0.15,0.35,0.75,0.9,0.9,0.9,0
G,G020,M,0.0,0.05,0.15,0.25,0.2,0.45,0.7,0.75,0.85,0.95,1.0,0
G,G021,F,0.2,0.25,0.2,0.25,0.45,0.6,0.75,0.85,0.8,0.95,0.85,0
G,G021,M,0.2,0.35,0.4,0.55,0.7,0.8,0.8,0.9,0.9,0.9,0.95,0
G,G022,F,0.25,0.25,0.45,0.45,0.7,0.75,0.85,1.0,1.0,1.0,1.0,0
G,G022,M,0.55,0.5,0.65,0.8,0.85,0.9,0.9,1.0,1.0,1.0,1.0,0
G,G023,F,0.15,0.25,0.15,0.15,0.35,0.5,0.45,0.5,0.85,0.9,0.9,0
G,G023,M,0.2,0.2,0.25,0.55,0.35,0.65,0.8,0.8,0.95,1.0,1.0,0
G,G024,F,0.25,0.2,0.25,0.3,0.5,0.7,1.0,1.0,1.0,1.0,0.95,0
G,G024,M,0.15,0.3,0.25,0.25,0.6,0.8,0.9,0.9,0.95,1.0,1.0,0
G,G025,F,0.65,0.35,0.3,0.45,0.5,0.25,0.45,0.3,0.4,0.45,0.6,0
G,G025,M,0.5,0.6,0.45,0.5,0.6,0.3,0.3,0.55,0.5,0.45,0.4,0
G,G026,F,0.15,0.05,0.15,0.25,0.4,0.4,0.65,0.85,0.9,0.85,0.95,0
G,G026,M,0.2,0.3,0.2,0.25,0.35,0.5,0.7,0.7,0.85,0.9,1.0,0
G,G027,F,0.0,0.25,0.25,0.5,0.65,0.75,0.9,0.95,1.0,1.0,1.0,0
G,G027,M,0.15,0.25,0.2,0.25,0.6,0.75,0.85,1.0,0.95,1.0,1.0,0
G,G028,F,0.0,0.0,0.0,0.1,0.15,0.5,0.65,0.8,0.9,0.9,0.95,0
G,G028,M,0.2,0.2,0.35,0.25,0.45,0.6,0.65,0.8,0.85,0.85,1.0,0
G,G029,F,0.1,0.15,0.15,0.2,0.05,0.2,0.4,0.45,0.6,0.5,0.7,0
G,G029,M,0.45,0.65,0.35,0.45,0.6,0.7,0.6,0.75,0.85,0.9,0.75,0
G,G030,F,0.2,0.35,0.3,0.25,0.4,0.4,0.6,0.7,0.95,0.95,0.95,0
G,G030,M,0.3,0.4,0.55,0.35,0.55,0.5,0.7,0.9,0.9,1.0,0.95,0
K,K001,F,0.0,0.05,0.1,0.15,0.2,0.2,0.55,0.8,0.8,0.9,1.0,1
K,K001,M,0.15,0.15,0.3,0.25,0.35,0.4,0.65,0.8,0.65,0.9,0.8,1
K,K002,F,0.3,0.1,0.2,0.25,0.3,0.5,0.8,0.9,0.95,1.0,1.0,1
K,K002,M,0.0,0.1,0.15,0.15,0.35,0.5,0.75,0.85,0.95,1.0,1.0,1
K,K003,F,0.2,0.4,0.3,0.5,0.6,0.6,0.6,0.8,0.8,0.8,0.7,1
K,K003,M,0.3,0.4,0.5,0.6,0.8,0.6,0.7,0.8,0.9,1.0,0.7,1
K,K004,F,0.0,0.05,0.05,0.05,0.2,0.3,0.4,0.5,0.75,0.95,0.85,1
K,K004,M,0.15,0.25,0.25,0.35,0.35,0.5,0.35,0.7,0.7,0.9,1.0,1
K,K005,F,0.05,0.1,0.1,0.0,0.3,0.5,0.6,0.8,0.95,0.9,0.95,1
K,K005,M,0.0,0.05,0.05,0.25,0.4,0.4,0.7,0.75,0.9,1.0,1.0,1
K,K007,F,0.05,0.0,0.0,0.0,0.05,0.3,0.6,0.75,0.9,0.95,0.95,1
K,K007,M,0.05,0.0,0.0,0.05,0.35,0.45,0.55,0.7,0.95,0.95,0.9,1
K,K008,F,0.1,0.0,0.0,0.15,0.2,0.4,0.55,0.9,0.8,1.0,1.0,1
K,K008,M,0.2,0.0,0.1,0.15,0.2,0.45,0.4,0.65,0.7,0.85,0.85,1
K,K009,F,0.05,0.15,0.2,0.5,0.3,0.6,0.7,0.8,0.85,0.9,1.0,1
K,K009,M,0.3,0.4,0.55,0.55,0.65,0.75,0.9,0.95,1.0,0.95,1.0,1
K,K010,F,0.2,0.1,0.15,0.2,0.2,0.25,0.5,0.6,0.75,0.85,0.9,1
K,K010,M,0.3,0.2,0.35,0.3,0.5,0.5,0.6,0.5,0.85,0.95,0.95,1
K,K011,F,0.0,0.0,0.05,0.1,0.3,0.4,0.55,0.85,0.95,1.0,0.95,1
K,K011,M,0.15,0.05,0.05,0.25,0.45,0.5,0.7,0.95,1.0,0.9,0.95,1
K,K012,F,0.1,0.1,0.2,0.4,0.5,0.65,0.8,0.9,0.9,1.0,0.95,1
K,K012,M,0.15,0.25,0.25,0.45,0.6,0.6,0.7,0.8,1.0,0.95,0.95,1
K,K013,F,0.1,0.05,0.05,0.2,0.3,0.6,0.75,0.85,0.85,0.95,0.9,1
K,K013,M,0.25,0.5,0.4,0.55,0.6,0.55,0.8,0.8,1.0,0.9,1.0,1
K,K014,F,0.0,0.0,0.05,0.0,0.0,0.25,0.45,0.7,0.85,0.95,0.95,1
K,K014,M,0.2,0.2,0.3,0.35,0.35,0.4,0.45,0.65,0.75,0.9,0.85,1
K,K015,F,0.1,0.15,0.2,0.2,0.3,0.45,0.7,0.75,0.9,1.0,0.95,1
K,K015,M,0.0,0.0,0.05,0.2,0.35,0.3,0.65,0.7,0.85,1.0,1.0,1
